grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102028+29099,26.14052561023602,91.65376096578858,Low,vegetated,27.400682145012503,Low priority - no action needed (ML tiering)
+102029+29100,26.14142392552014,91.65465928107272,Low,vegetated,26.77354073287013,Low priority - no action needed (ML tiering)
+102030+29102,26.143220556088373,91.65555759635684,Low,vegetated,26.8011020354682,Low priority - no action needed (ML tiering)
+102031+29103,26.1441188713725,91.65645591164096,Low,vegetated,26.91717799959208,Low priority - no action needed (ML tiering)
+102031+29104,26.145017186656613,91.65645591164096,Low,vegetated,26.266424483616607,Low priority - no action needed (ML tiering)
+102032+29103,26.144118871372505,91.6573542269251,Low,vegetated,27.034417171009093,Low priority - no action needed (ML tiering)
+102032+29104,26.145017186656617,91.6573542269251,Low,vegetated,26.02529167242933,Low priority - no action needed (ML tiering)
+102032+29105,26.14591550194073,91.6573542269251,Low,vegetated,24.95704693537236,Low priority - no action needed (ML tiering)
+102033+29104,26.145017186656617,91.6582525422092,Low,vegetated,26.09856965885428,Low priority - no action needed (ML tiering)
+102033+29105,26.14591550194073,91.6582525422092,Low,vegetated,24.884668768076125,Low priority - no action needed (ML tiering)
+102033+29106,26.14681381722485,91.6582525422092,Low,vegetated,24.52687573546833,Low priority - no action needed (ML tiering)
+102034+29104,26.145017186656617,91.65915085749332,Low,vegetated,26.44451593491306,Low priority - no action needed (ML tiering)
+102034+29105,26.14591550194073,91.65915085749332,Low,vegetated,25.34717999326361,Low priority - no action needed (ML tiering)
+102034+29106,26.14681381722485,91.65915085749332,Low,vegetated,25.1484426288494,Low priority - no action needed (ML tiering)
+102034+29107,26.14771213250897,91.65915085749332,Low,vegetated,24.87023685941269,Low priority - no action needed (ML tiering)
+102035+29104,26.145017186656617,91.66004917277743,Low,vegetated,26.836040935253827,Low priority - no action needed (ML tiering)
+102035+29105,26.14591550194073,91.66004917277743,Low,vegetated,25.63422897768158,Low priority - no action needed (ML tiering)
+102035+29106,26.14681381722485,91.66004917277743,Low,vegetated,25.6580900750524,Low priority - no action needed (ML tiering)
+102035+29107,26.14771213250897,91.66004917277743,Low,vegetated,25.01659902185644,Low priority - no action needed (ML tiering)
+102035+29108,26.148610447793093,91.66004917277743,Low,vegetated,24.95930930103733,Low priority - no action needed (ML tiering)
+102036+29104,26.145017186656617,91.66094748806157,Low,vegetated,27.36559856614578,Low priority - no action needed (ML tiering)
+102036+29105,26.14591550194073,91.66094748806158,Low,vegetated,25.938025793708103,Low priority - no action needed (ML tiering)
+102036+29106,26.14681381722485,91.66094748806158,Low,vegetated,25.70834475528284,Low priority - no action needed (ML tiering)
+102036+29107,26.14771213250897,91.66094748806157,Low,vegetated,25.127817897799154,Low priority - no action needed (ML tiering)
+102036+29108,26.148610447793093,91.66094748806158,Low,vegetated,24.7059137214211,Low priority - no action needed (ML tiering)
+102036+29109,26.149508763077208,91.66094748806158,Low,vegetated,24.95208094862388,Low priority - no action needed (ML tiering)
+102037+29105,26.14591550194073,91.66184580334568,Low,vegetated,26.163242994267787,Low priority - no action needed (ML tiering)
+102037+29106,26.14681381722485,91.66184580334568,Low,vegetated,25.53803374460252,Low priority - no action needed (ML tiering)
+102037+29107,26.14771213250897,91.66184580334568,Low,vegetated,25.387092623293498,Low priority - no action needed (ML tiering)
+102037+29108,26.148610447793093,91.66184580334568,Low,vegetated,24.925978151401683,Low priority - no action needed (ML tiering)
+102037+29109,26.149508763077208,91.66184580334568,Low,vegetated,24.996153629665304,Low priority - no action needed (ML tiering)
+102037+29110,26.150407078361336,91.66184580334568,Low,vegetated,25.46879699707081,Low priority - no action needed (ML tiering)
+102038+29105,26.14591550194073,91.6627441186298,Low,vegetated,26.557951866288423,Low priority - no action needed (ML tiering)
+102038+29106,26.14681381722485,91.6627441186298,Low,vegetated,26.297823120024457,Low priority - no action needed (ML tiering)
+102038+29107,26.14771213250897,91.6627441186298,Low,vegetated,26.226298017548963,Low priority - no action needed (ML tiering)
+102038+29108,26.148610447793093,91.6627441186298,Low,vegetated,25.64659483460548,Low priority - no action needed (ML tiering)
+102038+29109,26.149508763077208,91.6627441186298,Low,vegetated,25.134755290425986,Low priority - no action needed (ML tiering)
+102038+29110,26.150407078361336,91.6627441186298,Low,vegetated,25.636346898031203,Low priority - no action needed (ML tiering)
+102038+29111,26.15130539364545,91.6627441186298,Low,vegetated,25.1511472264246,Low priority - no action needed (ML tiering)
